Date,UNRATE
2006-01-27,4.792953025572838
2006-01-30,4.799160574637932
2006-01-31,4.800156556429971
2006-02-01,4.800565822496419
2006-02-02,4.800414551641158
2006-02-03,4.799735245281172
2006-02-06,4.794854127342725
2006-02-07,4.7923876931337
2006-02-08,4.7895557305048815
2006-02-09,4.786390740873253
2006-02-10,4.782925225655801
2006-02-13,4.771050540658363
2006-02-14,4.766707937267478
2006-02-15,4.762227315375698
2006-02-16,4.757641176400012
2006-02-17,4.7529820217574015
2006-02-20,4.738891477997899
2006-02-21,4.73426527485746
2006-02-22,4.72972856313503
2006-02-23,4.725313844247593
2006-02-24,4.7210536196121335
2006-02-27,4.70952492538749
2006-02-28,4.706207691929808
2006-03-01,4.703207459809034
2006-03-02,4.700556730442154
2006-03-03,4.698283781805485
2006-03-06,4.69360322313478
2006-03-07,4.692679252627152
2006-03-08,4.692035060382948
2006-03-09,4.6916476486454375
2006-03-10,4.691494019657894
2006-03-13,4.692205851627769
2006-03-14,4.692757376072802
2006-03-15,4.693427694484158
2006-03-16,4.694193809105109
2006-03-17,4.695032722178924
2006-03-20,4.697756274550282
2006-03-21,4.698656403868278
2006-03-22,4.699514342855494
2006-03-23,4.700307093755207
2006-03-24,4.7010116588106845
2006-03-27,4.702366261344428
2006-03-28,4.702488105455684
2006-03-29,4.702406774939064
2006-03-30,4.702099272037838
2006-03-31,4.701542598995279
2006-04-03,4.698163395063057
2006-04-04,4.696448906547376
2006-04-05,4.694463460964463
2006-04-06,4.692223984338448
2006-04-07,4.689747402693458
2006-04-10,4.681064287885903
2006-04-11,4.677808546406279
2006-04-12,4.674400330028316
2006-04-13,4.67085656477614
2006-04-14,4.667194176673879
2006-04-17,4.655664535507846
2006-04-18,4.651696916246511
2006-04-19,4.647695304255724
2006-04-20,4.643676625559613
2006-04-21,4.639657806182307
2006-04-24,4.627769764204483
2006-04-25,4.623919642343663
2006-04-26,4.62015400992228
2006-04-27,4.616489792964464
2006-04-28,4.612943917494342
2006-05-01,4.603185600251407
2006-05-02,4.600282350973329
2006-05-03,4.597579764510338
2006-05-04,4.595079930433191
2006-05-05,4.592780709266747
2006-05-08,4.587065295691846
2006-05-09,4.585547098628426
2006-05-10,4.584218800705816
2006-05-11,4.583078259170039
2006-05-12,4.582123331267113
2006-05-15,4.580350801815663
2006-05-16,4.580116900904362
2006-05-17,4.580057899856019
2006-05-18,4.580171655916657
2006-05-19,4.580456026332297
2006-05-22,4.582311396169444
2006-05-23,4.583256796465307
2006-05-24,4.584362097346278
2006-05-25,4.585625156058381
2006-05-26,4.587043829847635
2006-05-29,4.592212114138521
2006-05-30,4.594231820696596
2006-05-31,4.59639642856193
2006-06-01,4.598703794980545
2006-06-02,4.601151674158138
2006-06-05,4.609274976949504
2006-06-06,4.612214942899898
2006-06-07,4.615257083013244
2006-06-08,4.618393042281325
2006-06-09,4.621614465695931
2006-06-12,4.631707970736766
2006-06-13,4.635187700655342
2006-06-14,4.638711119679377
2006-06-15,4.642269872800662
2006-06-16,4.645855605010982
2006-06-19,4.65669112609403
2006-06-20,4.660301224578366
2006-06-21,4.6638965271106745
2006-06-22,4.667468678682743
2006-06-23,4.671009324286358
2006-06-26,4.681358675204361
2006-06-27,4.68468974685204
2006-06-28,4.687947537490202
2006-06-29,4.691123692110635
2006-06-30,4.694209855705126
2006-07-03,4.702845095357357
2006-07-04,4.705489381824833
2006-07-05,4.7080046483917775
2006-07-06,4.710383894259218
2006-07-07,4.712620118628185
2006-07-10,4.718400654754516
2006-07-11,4.719994785139864
2006-07-12,4.721410890031876
2006-07-13,4.7226419686315815
2006-07-14,4.723681020140007
2006-07-17,4.7255760041278885
2006-07-18,4.725776939281478
2006-07-19,4.7257508433489255
2006-07-20,4.725490715531262
2006-07-21,4.724989555029516
2006-07-24,4.721969869430051
2006-07-25,4.72043457020225
2006-07-26,4.718623234295503
2006-07-27,4.716528860910839
2006-07-28,4.714144449249288
2006-07-31,4.705180976613583
2006-08-01,4.70156640385476
2006-08-02,4.697627553529338
2006-08-03,4.693369986516314
2006-08-04,4.688808529936906
2006-08-07,4.673451586912361
2006-08-08,4.667825336179408
2006-08-09,4.66197057793607
2006-08-10,4.655902388593546
2006-08-11,4.649635844563036
